algorithm,run,seed,cost,evaluations,x1,x2
PSO,1,0,7.43614236853e-09,3030,-3.89207901618e-06,4.72586237304e-06
PSO,2,1,5.32072519377e-09,3030,4.52122302147e-06,-2.52542608103e-06
PSO,3,2,5.45093570281e-09,3030,-5.16512430371e-06,-8.92781607415e-07
PSO,4,3,6.67992779313e-07,3030,-3.00560357622e-05,4.9635351229e-05
PSO,5,4,2.76670100163e-08,3030,9.34502038936e-06,7.21988922675e-06
Local Search,1,0,4.97830825891,1001,0.996328125359,-1.9859248965
Local Search,2,1,24.8850748584,1001,-0.00630580451629,4.97048311785
Local Search,3,2,7.96038306915,1001,-1.98872861143,-1.98841569066
Local Search,4,3,24.8745862974,1001,-3.98137646856,-2.98374889126
Local Search,5,4,24.8744116487,1001,4.97616367746,0.00115326960387
